ano,id_localizacao,ds_localizacao,total_meses,vl_inicial_sum,vl_empenhado_sum,vl_atualizado_sum,vl_liquidado_sum,vl_pago_sum
2012,201,AGRESTE ALAGOANO,12,32939565.0000,22744043.8600,55371265.2600,19196339.5100,19187772.0100
2012,206,BACIA LEITEIRA,1,27700.0000,0.0000,27700.0000,0.0000,0.0000
2012,204,METROPOLITANA DE MACEIÓ,12,755316839.0000,601140800.7900,749404113.1300,578758243.0300,577266996.3900
2012,202,REGIÃO NORTE,11,10994412.0000,71092.7400,7428260.0000,62278.7400,62278.7400
2012,203,REGIÃO SUL,12,2414652.0000,497141.6600,1719193.0000,486996.3100,486996.3100
2012,205,SERTÃO ALAGOANO,11,106271808.0000,252565323.6100,260306991.7900,197423846.6800,197326442.2700
2012,208,TODO ESTADO,12,4986523659.0000,4878096155.4900,5528059322.6500,4605612203.6400,4500579085.5400
2012,207,VALES DO PARAÍBA E DO MUNDAÚ,12,620816.0000,72276681.5700,90638753.3200,24265193.3700,24205846.5100
