ano,id_localizacao,ds_localizacao,total_meses,vl_inicial_sum,vl_empenhado_sum,vl_atualizado_sum,vl_liquidado_sum,vl_pago_sum
2014,201,AGRESTE ALAGOANO,12,91577035.0000,91816088.2100,108955998.9100,91800883.6800,88308822.8200
2014,206,BACIA LEITEIRA,1,65740390.0000,0.0000,65740390.0000,0.0000,0.0000
2014,204,METROPOLITANA DE MACEIÓ,12,994166090.0000,771700353.8400,900467611.4500,759790353.4300,748751143.4900
2014,202,REGIÃO NORTE,11,121937730.0000,690190.0700,10068029.2000,690190.0700,537149.0700
2014,203,REGIÃO SUL,11,80825794.0000,316759.1100,1197645.0000,316759.1100,316759.1100
2014,205,SERTÃO ALAGOANO,12,133979873.0000,503912805.7800,539736983.0600,503912805.7800,394065089.9900
2014,208,TODO ESTADO,12,5752923317.0000,5554967659.3000,6213099866.8300,5500655699.3500,5359150500.1600
2014,207,VALES DO PARAÍBA E DO MUNDAÚ,12,13375794.0000,6182897.4000,11095947.6300,6182897.4000,6182897.4000
