ano,id_localizacao,ds_localizacao,total_meses,vl_inicial_sum,vl_empenhado_sum,vl_atualizado_sum,vl_liquidado_sum,vl_pago_sum
2013,201,AGRESTE ALAGOANO,12,25921226.0000,58581161.6300,110541983.6800,52414255.7000,52405492.3000
2013,206,BACIA LEITEIRA,1,0.0000,0.0000,45902553.0000,0.0000,0.0000
2013,204,METROPOLITANA DE MACEIÓ,12,782411223.0000,623374785.8700,854563835.9600,584127846.4700,578147735.4000
2013,202,REGIÃO NORTE,12,7271533.0000,543291.7900,78651078.6600,427623.4900,427493.4900
2013,203,REGIÃO SUL,12,2220099.0000,415423.5000,58850123.0000,88237.0400,88237.0400
2013,205,SERTÃO ALAGOANO,12,105890913.0000,352671537.8700,394154683.6500,272031015.2000,272030165.2000
2013,208,TODO ESTADO,12,5277092283.0000,5041925634.7700,5886697464.1400,4803069798.2300,4702087901.0400
2013,207,VALES DO PARAÍBA E DO MUNDAÚ,12,3382588.0000,2004345.8100,19844436.8400,1940490.4100,1940370.4100
