ano,id_localizacao,ds_localizacao,total_meses,vl_inicial_sum,vl_empenhado_sum,vl_atualizado_sum,vl_liquidado_sum,vl_pago_sum
2015,201,AGRESTE ALAGOANO,12,27538159.0000,26063483.0200,37005924.2100,26058527.5600,25032955.2700
2015,206,BACIA LEITEIRA,4,302000.0000,0.0000,302000.0000,0.0000,0.0000
2015,204,METROPOLITANA DE MACEIÓ,12,891847621.0000,788714523.7600,902239011.0600,770288778.3700,749889996.8500
2015,202,REGIÃO NORTE,12,6315400.0000,1106456.0000,7682782.7300,1106456.0000,1024296.0000
2015,203,REGIÃO SUL,7,1025145.0000,464663.5600,1011599.1200,464663.5600,464663.5600
2015,205,SERTÃO ALAGOANO,12,131157977.0000,188817953.8400,205744137.3300,188813173.8400,188806225.0400
2015,208,TODO ESTADO,12,6211554673.0000,5725692393.1500,6532464699.3000,5576646351.2500,5452573976.5700
2015,207,VALES DO PARAÍBA E DO MUNDAÚ,10,2374095.0000,2830736.5800,6585095.0000,2830736.5800,2826464.0800
