ano,mes,vl_inicial,vl_empenhado,vl_atualizado,vl_liquidado,vl_pago
2016,1,701656428.00,348713815.57,701656428.00,324250226.58,285893759.40
2016,2,701656428.00,462437230.62,701326177.17,443260670.67,445046774.84
2016,3,701656428.00,445263377.75,701388990.43,438031567.23,469703733.78
2016,4,6314189471.00,2543476853.49,7615037803.73,1374217033.08,1344115348.33
2016,5,0.00,683537376.25,-119452549.00,723066484.06,726469580.90
2016,6,0.00,648687691.76,130972741.00,753294632.47,740390804.34
2016,7,0.00,693287152.91,113305161.23,756126442.51,749763668.71
2016,8,0.00,318226197.61,-33417773.17,707299689.78,698462399.34
2016,9,0.00,399763535.90,115407032.00,480459737.06,484320500.48
2016,10,0.00,17585097.64,-47318754.17,22553268.08,47823147.72
