ano,mes,vl_inicial,vl_empenhado,vl_atualizado,vl_liquidado,vl_pago
2012,1,6619084292.00,1517536788.89,6614589425.66,395281869.67,329977017.05
2012,2,0.00,368326006.52,142175092.32,394294215.36,405026800.37
2012,3,0.00,368991189.27,138053120.02,477331924.26,443964595.62
2012,4,0.00,456587854.78,148201772.01,424260021.05,477091915.19
2012,5,0.00,411374707.34,30399340.50,546065191.21,488742001.48
2012,6,0.00,363635091.49,32296572.19,436136193.58,479524758.48
2012,7,0.00,475933693.59,20050058.39,551072625.28,509570459.86
2012,8,0.00,433381469.70,55659081.76,512673357.57,493337046.88
2012,9,0.00,373195327.01,59413082.22,462512234.58,480307466.57
2012,10,0.00,388255661.82,53454460.09,485050629.31,462424739.92
2012,11,0.00,335554746.91,20456306.60,433651122.23,492873152.05
2012,12,0.00,1054243873.64,262470044.14,984474228.66,927414309.63
