ano,mes,vl_inicial,vl_empenhado,vl_atualizado,vl_liquidado,vl_pago
2015,1,696801466.00,328987995.64,696801466.00,254931236.48,243553933.07
2015,2,690023256.00,549097684.48,687753328.49,512763354.75,500508295.16
2015,3,693412367.00,584165627.35,693590913.38,556131701.26,553235763.14
2015,4,6254071458.00,1841170406.30,6248292784.46,758518180.17,701235000.61
2015,5,0.00,498477033.41,-61728829.72,621569441.44,602902346.95
2015,6,0.00,505682118.82,81302307.83,643663084.73,640728207.82
2015,7,0.00,496620899.58,47858414.93,635321471.90,568979672.52
2015,8,0.00,464561995.66,71545070.21,555685430.86,496459649.87
2015,9,0.00,505352617.10,132181763.61,620068008.08,744726825.50
2015,10,0.00,458102227.66,-14382012.19,568066092.74,591973682.26
2015,11,0.00,652233686.98,91019926.84,601093754.14,609621667.29
2015,12,0.00,1144135484.48,558412032.78,1525806685.80,1436204852.19
